Title,Time,category,URL
三峽火金姑茶　安心無毒螢火蟲認證(678),11:13,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099443/三峽火金姑茶　安心無毒螢火蟲認證
【民報】遭台大假論文案波及 陽明大學楊慕...(1398),10:52,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099449/【民報】遭台大假論文案波及陽明大學楊慕華教授卻默默做了這些努力….
他一個對8位地方媽媽　最後「只」搶到這十...(11301),10:50,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099426/他一個對8位地方媽媽　最後「只」搶到這十支
彰化為何需要捷運？　在地人這樣說(61297),10:38,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099435/彰化為何需要捷運？　在地人這樣說
Uber是否合法觀察中　交通部：稅金和罰...(1689),11:12,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099460/Uber是否合法觀察中　交通部：稅金和罰款要繳清
立委指政務官不應兼任計畫主持人　陳良基：...(868),09:56,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099418/立委指政務官不應兼任計畫主持人　陳良基：月底前討論出結果
【網路溫度計】歐巴等等我啊！旅遊必訪 網...(364),09:30,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099329/【網路溫度計】歐巴等等我啊！旅遊必訪網友精選韓國十大人氣景點！
六輕生煤石油焦許可證展延　雲林縣府今核發(7270),10:19,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099414/六輕生煤石油焦許可證展延　雲林縣府今核發
公車之王駕駛自曝薪資　勤勞點可領82K(44745),10:02,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099411/公車之王駕駛自曝薪資　勤勞點可領82K
嘉義議員搞副業　開民宿推在地觀光(2028),09:54,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099283/嘉義議員搞副業　開民宿推在地觀光
毛！夜半宿舍廁所　隔壁伸來那隻腳拗成這樣(14697),09:35,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099392/毛！夜半宿舍廁所　隔壁伸來那隻腳拗成這樣
捕獲野生「開心鬼」　網友狂喊：前生我愛你(33495),09:29,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099399/捕獲野生「開心鬼」　網友狂喊：前生我愛你
【你爆蘋果報】農地變健身房？　業者遭爆未...(1816),09:01,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099269/【你爆蘋果報】農地變健身房？　業者遭爆未申請變更就偷跑
紅色i7開賣僅半個月　通訊行下殺9折有找(3922),08:26,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099372/紅色i7開賣僅半個月　通訊行下殺9折有找
力拚國一女接種子宮頸癌疫苗　12萬人受惠(2130),07:42,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099365/力拚國一女接種子宮頸癌疫苗　12萬人受惠
全台5萬人未使用過健保卡　男是女2.5倍(7164),07:35,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099362/全台5萬人未使用過健保卡　男是女2.5倍
今悶熱到34℃、西半部午後有雨　明後天降...(1517),09:00,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1091122/今悶熱到34℃、西半部午後有雨　明後天降溫有雨
「藍眼淚」噴發美麗　其實是生態在求救(4341),08:44,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099377/「藍眼淚」噴發美麗　其實是生態在求救
他比OK…大批人往前衝　白跑6公里的烏龍...(12521),07:14,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099360/他比OK…大批人往前衝　白跑6公里的烏龍路跑
像雜草常被錯殺　瀕絕種綬草開花了(4871),07:00,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1098978/像雜草常被錯殺　瀕絕種綬草開花了
飛蛾撲耳　用手挖摳到破皮滲血(2536),07:00,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099073/飛蛾撲耳　用手挖摳到破皮滲血
金門迎城隍活動　人力蜈蚣座先暖場(1274),07:00,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099300/金門迎城隍活動　人力蜈蚣座先暖場
學生為這原因霸唱　政大擬改校歌歌詞(3829),06:40,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099354/學生為這原因霸唱　政大擬改校歌歌詞
全台5萬人未使用過健保卡　男是女2.5倍(7175),07:35,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099362/全台5萬人未使用過健保卡　男是女2.5倍
網傳止汗劑致癌　醫師：2大成分產生這激素(3967),07:26,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099363/網傳止汗劑致癌　醫師：2大成分產生這激素
小島婚禮不用出國　澎湖虎井嶼等妳來(3147),07:01,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1098923/小島婚禮不用出國　澎湖虎井嶼等妳來
公告「娶二房」的狂老闆　正面曝光　(44605),07:00,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1099014/公告「娶二房」的狂老闆　正面曝光　
泡鹽水治異位性皮膚炎？　誤會大了！(1754),06:23,生活,http://www.appledaily.com.tw//realtimenews/article/life/20170417/1098258/泡鹽水治異位性皮膚炎？　誤會大了！
